price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
9234000,16084,3,2,3,yes,no,yes,yes,yes,1,no,furnished
8963000,14858,4,4,4,yes,no,no,yes,no,1,no,furnished
8890000,15719,2,1,3,yes,yes,no,no,yes,1,no,furnished
8664000,15195,4,1,2,yes,yes,yes,no,yes,1,yes,semi-furnished
8620000,14790,3,3,2,yes,yes,yes,no,yes,0,no,furnished
8523000,15457,3,1,3,yes,yes,yes,no,no,1,yes,furnished
8519000,16177,3,1,4,yes,no,yes,no,yes,0,no,furnished
8454000,15353,4,1,1,yes,no,yes,yes,yes,2,yes,unfurnished
8414000,16012,3,4,1,yes,no,yes,no,yes,2,no,semi-furnished
8402000,14771,3,4,1,yes,no,no,no,no,2,no,furnished
8351000,15309,3,1,2,yes,no,yes,no,yes,0,yes,semi-furnished
8338000,14356,4,2,4,yes,yes,yes,no,no,1,yes,unfurnished
8337000,14183,3,3,4,yes,yes,yes,no,no,0,no,furnished
8335000,15833,3,3,1,yes,no,no,no,no,1,no,furnished
8318000,15472,3,2,4,no,no,no,no,no,0,yes,semi-furnished
8307000,13078,4,2,2,yes,yes,no,no,no,2,yes,semi-furnished
8292000,16162,5,3,2,yes,no,no,no,no,3,no,semi-furnished
8290000,15569,5,1,4,yes,no,no,no,yes,3,no,semi-furnished
8198000,15153,4,1,3,yes,no,no,no,yes,1,no,semi-furnished
8161000,14390,5,2,2,yes,yes,yes,yes,yes,1,no,semi-furnished
8132000,15801,4,2,3,yes,yes,no,no,no,0,no,furnished
8129000,14733,4,2,4,yes,no,no,no,no,2,no,furnished
8127000,15621,3,2,2,yes,yes,no,no,yes,2,no,furnished
8110000,14621,5,1,2,yes,no,no,no,yes,1,yes,unfurnished
8101000,16023,5,1,1,yes,no,yes,no,yes,0,no,unfurnished
8089000,15121,3,1,3,yes,yes,yes,no,no,2,no,furnished
8087000,15200,2,3,2,yes,yes,no,no,yes,1,no,semi-furnished
8082000,16152,3,2,1,no,no,yes,no,no,2,no,semi-furnished
8071000,15068,3,1,2,yes,yes,yes,no,no,3,no,semi-furnished
8051000,12616,4,2,3,yes,no,yes,no,yes,1,no,furnished
8049000,15907,4,2,2,yes,no,yes,no,no,2,no,unfurnished
8025000,12761,2,4,4,yes,yes,no,no,no,2,yes,unfurnished
8021000,16047,2,1,3,yes,yes,no,no,yes,3,no,semi-furnished
8005000,15338,2,2,4,yes,no,yes,no,no,1,no,furnished
7991000,15527,4,1,3,no,yes,yes,no,no,0,yes,furnished
7991000,12616,4,1,2,yes,no,no,no,yes,2,yes,furnished
7973000,12625,4,4,2,yes,no,no,yes,no,0,yes,unfurnished
