customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered
1,other,26-35,south,electronics,online,myntra,5,It is not an out of the world product but for the price point it is what it is said to be . It does what it advertises nothing more or lessA little slower compared to Samsung Tabs or Ipads but again less then$35 on blackfriday cant complain,positive,68,no,no
2,male,46-60,west,electronics,online,zepto,3,I like it. Bought it as a birthday gift for a three year old and they love it,neutral,70,no,no
3,male,60+,west,electronics,online,bigbasket,4,I purchased this tablet for my grandson who is 4 years old. He loves it!,positive,51,no,no
4,other,18-25,central,electronics,online,croma,4,Perfect for my elderly mom to play games and use for reading,positive,22,no,yes
5,male,36-45,north,electronics,online,shopclues,5,Got this as a gift for my best friend. It arrived very fast; packed nicely; gift wrapped. Quality was great,positive,68,no,no
6,male,26-35,south,electronics,online,facebook marketplace,2,"I bought this on Black Friday, simply because it was dirt cheap. It works ok but kinda slow.",negative,62,no,yes
7,female,26-35,north,electronics,online,meesho,2,Alexa has a hard time answering. You need to download information online in order to build her data base.,negative,15,no,yes
8,other,26-35,central,electronics,online,jiomart,2,Crazy that you have to buy these separate for some kindle products that should come with one,negative,71,yes,yes
9,other,18-25,south,electronics,online,tata cliq,1,"I, as well as other Kindle lovers, have noticed that although we have taken great care with the cover, it has warped and has bubbles and is not durable. Within 3 months, and I only started using the Kindle with the cover in the past 2 weeks, noticed the cover has become warped and bubbled under the leather. No idea what would cause this, I have taken great care not to put it near any source that would have done this damage, not sunlight, heat, moisture or anything. I will be requesting a replacement, but Kindle manufacturers of the cover need to do their homework and come up with a better product, especially for the price we paid.",negative,30,yes,yes
10,other,18-25,west,electronics,online,ajio,4,Easy to setup and use. Even without peripherals the syste interaction was beneficial,positive,18,no,no
11,female,18-25,north,electronics,online,shopclues,4,Family member really likes it and says its fun. Using it all the time.,positive,33,no,no
12,female,46-60,south,electronics,online,reliance digital,5,"I purchased this product with an eye on simply trying out a tablet. It has become a product I use every day. You have to get used to the Amazon app store, which is different than the Google Play store, though it is still android-based. The tablet is fast and the user experience is satisfying. I purchased the 32Gb. model for the extra storage space. It is a great tablet for under $100!",positive,34,yes,no
13,male,36-45,central,electronics,online,zepto,3,Hard to figure out to use this tablet can't figure out how to close apps. Also says no storage to run wifi. Lastly bought three of them and one is not working wish it came with a user guide,neutral,23,yes,no
14,female,26-35,north,electronics,online,croma,3,It works about 50% of the time when asking it a question.,neutral,60,no,no
15,male,36-45,central,electronics,online,shopclues,5,Very portable. Easy to use. Well worth the price..,positive,25,no,no
16,female,60+,west,books,online,paytm mall,5,Delivers on all counts. Lets me read anywhere I want and download easily from my local library digitally!,positive,29,no,yes
17,female,26-35,east,electronics,online,paytm mall,5,"I bought for my sister's birthday she really enjoyed it, it is very appropriate and fits her",positive,65,yes,no
18,other,36-45,north,electronics,online,zepto,3,The only bad thing I can say about this tablet is that after using certain apps you have to turn the tablet completely off in order to get to the main screen.,neutral,7,yes,no
19,male,36-45,south,electronics,online,swiggy instamart,5,Nothing comes close. So much faster then anything else out there.,positive,66,yes,no
20,female,26-35,south,electronics,online,reliance digital,4,It has alex built in so you don't even need a amazon eco,positive,20,yes,no
21,female,36-45,east,electronics,online,ajio,5,Great graphics and lots of apps and memory for the price.,positive,13,no,yes
22,other,46-60,central,electronics,online,jiomart,3,ok product serves the purpose nothing more than that,neutral,33,yes,no
23,other,46-60,north,electronics,online,paytm mall,5,"I went into bestbuy to purchase a replacement after mine died. I loved my kindle, and decided to get 2-in-1 with the fire. It is perfect for my needs.",positive,55,no,no
24,female,60+,west,electronics,online,paytm mall,5,Way faster then the stick. And better quality. Worth the extra money. Especially for kodi,positive,65,yes,no
25,male,60+,central,electronics,online,flipkart,5,"It's perfect for kids, and adults who want to take a tablet on the go, and not worry so much! It seams very durabale.",positive,32,no,no
26,other,46-60,east,electronics,online,boat,5,I bought this for our family Christmas gift and we are having fun asking Alexa questions..I think we are ready for a couple of dots.,positive,42,yes,no
27,female,26-35,east,electronics,online,snapdeal,5,I have and Echo and order all the time no problem. Nice way to order if you don't have much time.,positive,37,yes,no
28,female,60+,central,electronics,online,amazon,5,This device streams available content smoothly. Plan to buy another one for children.,positive,61,yes,no
29,female,18-25,central,electronics,online,paytm mall,5,The Kindle Fire I purchased at Best Buy is awesome for people to read books online and search the web. It is one of a kind!,positive,16,yes,no
30,other,26-35,east,electronics,online,flipkart,4,Has a faster processor than the firestick and has the ability for expandable memory. Works great.,positive,34,yes,no
31,male,26-35,south,books,online,boat,5,Bought this for my 9 year old granddaughter. She loved it. Easy to use and excellent display. I am considering one for myself now that I've seen and used hers. Very light also.,positive,52,no,no
32,male,46-60,central,electronics,online,meesho,5,I bought this kindle as an upgrade for my first kindle fire,positive,37,yes,no
33,female,60+,south,electronics,online,shopclues,5,Great way to have all of my text books in one and read on the go,positive,48,yes,no
34,female,46-60,central,books,online,croma,5,why carry a book when you can have a library at your fingertips? Get one now!,positive,12,no,no
35,male,60+,central,electronics,online,ajio,2,Wasn't what I thought it would be. Not a good investment.,negative,16,no,yes
36,female,26-35,west,electronics,online,bigbasket,3,"The Amazon Fire HD8 (2016 model) is a great tablet for the price; however, the Fire OS offers limited abilities to the user. Personally, I wish there were ways to mirror the screen to a tv without having to purchase a Fire TV streaming stick. Also, the inability to use the google play store is a major set back. If it weren't for those two complaint, I'd give this tablet 4 stars.",neutral,52,no,no
37,other,36-45,west,electronics,online,others,4,For the price it seems like a very good tablet. I was disappointed that it came with absolutely NO instructions. So if you were new to tablets you could find yourself at a complete loss as to how to set it up.,positive,5,yes,no
38,other,26-35,south,electronics,online,facebook marketplace,4,"Solid product, great speaker, but another device to help you consume media and spend money. Alexa order me stuff!",positive,18,no,no
39,male,26-35,east,books,online,lenskart,3,"The amazon tablet is priced amazingly. However, the tablet needs to be restarted constantly to find a WiFi connection.",neutral,65,no,no
40,female,36-45,east,electronics,online,lenskart,3,The only bad thing is it doesn't have google on it,neutral,6,yes,no
41,other,36-45,east,electronics,online,ajio,5,This is a great device to have if you dont have cable at home and you need to add a program call Kodi also.,positive,38,no,no
42,male,36-45,east,electronics,online,bigbasket,5,"My wife purchased this for my daughter , great for learning to read.",positive,3,no,no
43,female,60+,north,electronics,online,croma,4,"I like the Echo a lot. Mostly because of voice automation with Alexa. I've had my Echo Dot (from Best Buy too) since last November (about eight or nine months) and I like it for my bedroom, but the added speaker on the larger Echo device is much better for listening to news or music. If you turn on the ""start of request"" sound though, it's not as loud as the one on the Echo Dot, which is both good and bad. Either way, I like this device, and I'm glad I got it for only $100 with the added protection plan.",positive,52,no,no
44,other,36-45,west,electronics,online,others,5,I enjoy it a lot for my son yeah I really enjoyed it and likes it a lot of different options,positive,41,yes,no
45,male,36-45,north,electronics,online,boat,3,Battery doesn't last the up to 7 hours estimate. Didn't even last 4 hours one day. Watches video mostly but should last longer than that.,neutral,69,yes,yes
46,male,26-35,south,electronics,online,tata cliq,4,Moves a bit slow at times but overall it works good.,positive,7,yes,no
47,other,46-60,north,books,online,boat,5,My son uses his tablet on a daily basis. He makes sure he has his case on it and can use all the apps. I can also use it and put on parental protections.,positive,56,yes,no
48,female,26-35,south,books,online,myntra,5,Good product and the quality of the product is good. Easy to use.,positive,7,no,no
49,male,26-35,central,electronics,online,flipkart,3,This tablet is very small and efficient. My daughter just loves it... I can say it's basic beginner savvy.,neutral,67,yes,yes
50,female,60+,east,electronics,online,jiomart,4,"Great for kids use, not a lot of internal storage so a memory card is useful",positive,41,yes,no
51,other,60+,central,electronics,online,snapdeal,4,"The product is great once you download everything you need. I found it a little challenging taking it from place to place. It must connect to Wi-Fi to work and be loaded with the music you want to hear. It's great for your favorite spot in your home or office, then download songs, and don't move it.",positive,22,no,no
52,other,36-45,west,electronics,online,snapdeal,2,The tablet periodically shuts off for no reason. I have contacted Amazon but their only suggestion was to reset to factory default.,negative,32,no,yes
53,male,18-25,north,electronics,online,flipkart,1,Has a very good Bluetooth speakers sound quality is good but otherwise she's pretty useless when it comes to get answering questions,negative,56,no,yes
