review,sentiment,rating
"Top notch camera, sturdy, stylish, and easy to use.",Positive,5
"Best camera I have ever owned, worth every penny.",Positive,5
"Very satisfied customer here, this phone is outstanding.",Positive,4
"This jacket is reliable, comfortable, and simply amazing.",Positive,5
"I regret buying this tablet, it stopped working within a week.",Negative,2
"I am so happy with this headphones, it arrived quickly and works great.",Positive,4
The backpack stopped functioning properly after minimal use.,Negative,1
"Very satisfied customer here, this bottle is outstanding.",Positive,4
"This shoes is amazing, exceeded all my expectations!",Positive,5
"Terrible quality watch, not worth the price at all.",Negative,2
"Disappointing purchase, this tablet malfunctions constantly.",Negative,2
"I am so happy with this bottle, it arrived quickly and works great.",Positive,4
The tablet arrived damaged and customer service was unhelpful.,Negative,2
"The blender exceeded my expectations, five stars from me.",Positive,4
"Disappointing purchase, this wallet malfunctions constantly.",Negative,1
"Extremely uncomfortable wallet, returning it right away.",Negative,2
The monitor feels premium and performs even better.,Positive,4
"I regret buying this monitor, it stopped working within a week.",Negative,1
"I love how well made this mouse is, no complaints at all.",Positive,5
"Disappointing purchase, this mouse malfunctions constantly.",Negative,2
"Very satisfied customer here, this bottle is outstanding.",Positive,4
The camera stopped functioning properly after minimal use.,Negative,1
"Worst sunglasses I have ever bought, complete waste of money.",Negative,1
"Absolutely love this jacket, best purchase I've made this year.",Positive,4
This mouse is the worst product I have purchased online.,Negative,2
The shoes feels premium and performs even better.,Positive,5
"Extremely uncomfortable wallet, returning it right away.",Negative,2
"Awful experience, the shoes does not work as advertised.",Negative,2
"Fantastic shoes, customer service was also very helpful.",Positive,4
"Horrible tablet, I want a refund immediately.",Negative,2
"I regret buying this jacket, it stopped working within a week.",Negative,1
"Top notch laptop, sturdy, stylish, and easy to use.",Positive,4
The watch was delivered late and in poor condition.,Negative,2
"Disappointing purchase, this shoes malfunctions constantly.",Negative,1
"I am so happy with this sunglasses, it arrived quickly and works great.",Positive,4
"Great quality watch for the price, highly recommend to everyone.",Positive,5
"Very satisfied customer here, this sunglasses is outstanding.",Positive,4
"I love how well made this camera is, no complaints at all.",Positive,4
"This keyboard broke after just two days of use, very disappointed.",Negative,1
"This sunglasses is a game changer, super comfortable and durable.",Positive,5
"This wallet broke after just two days of use, very disappointed.",Negative,1
"Wonderful experience with this wallet, works flawlessly.",Positive,5
"Couldn't be happier with this camera, great purchase.",Positive,4
"Awful experience, the laptop does not work as advertised.",Negative,2
"Best shoes I have ever owned, worth every penny.",Positive,4
Excellent phone! Fast shipping and amazing build quality.,Positive,5
"Poor performance and bad quality, this headphones is a scam.",Negative,1
"I love how well made this jacket is, no complaints at all.",Positive,5
The blender feels premium and performs even better.,Positive,4
"Not satisfied at all, this keyboard is defective and useless.",Negative,1
"Extremely uncomfortable keyboard, returning it right away.",Negative,2
"Very satisfied customer here, this headphones is outstanding.",Positive,4
"This headphones is a total disappointment, would not recommend.",Negative,2
The shoes feels premium and performs even better.,Positive,4
"Best charger I have ever owned, worth every penny.",Positive,4
"Cheaply made bottle, broke on the first day of use.",Negative,1
"Poor performance and bad quality, this jacket is a scam.",Negative,2
"Not satisfied at all, this keyboard is defective and useless.",Negative,2
"Extremely uncomfortable mouse, returning it right away.",Negative,1
"This watch is reliable, comfortable, and simply amazing.",Positive,5
"Top notch charger, sturdy, stylish, and easy to use.",Positive,5
"Best jacket I have ever owned, worth every penny.",Positive,4
"Fantastic backpack, customer service was also very helpful.",Positive,5
"I am so happy with this tablet, it arrived quickly and works great.",Positive,5
"This laptop is exactly what I needed, works like a charm.",Positive,4
"Wonderful experience with this blender, works flawlessly.",Positive,5
"Fantastic mouse, customer service was also very helpful.",Positive,4
"This blender is a game changer, super comfortable and durable.",Positive,5
"Great quality phone for the price, highly recommend to everyone.",Positive,5
"This phone is a game changer, super comfortable and durable.",Positive,5
"Superb quality and great value, this bottle is perfect.",Positive,4
"Superb quality and great value, this speaker is perfect.",Positive,5
"Top notch charger, sturdy, stylish, and easy to use.",Positive,4
"I am very unhappy with this watch, it simply does not work.",Negative,2
"Top notch speaker, sturdy, stylish, and easy to use.",Positive,5
"This mouse is overpriced junk, do not waste your money.",Negative,1
"Cheaply made monitor, broke on the first day of use.",Negative,2
"Great quality jacket for the price, highly recommend to everyone.",Positive,4
The mouse feels premium and performs even better.,Positive,4
"Top notch blender, sturdy, stylish, and easy to use.",Positive,5
This charger is the worst product I have purchased online.,Negative,2
"I am very unhappy with this bottle, it simply does not work.",Negative,2
"This shoes is overpriced junk, do not waste your money.",Negative,1
"This watch is overpriced junk, do not waste your money.",Negative,1
"Worst wallet I have ever bought, complete waste of money.",Negative,2
