Date,Market,Purity,USD,EUR,GBP,INR,AED,CNY
1979-04,Kolkata,18K,231.76,140.77,108.84,1887.88,885.36,704.86
2002-09,Kolkata,22K,280.67,297.25,186.83,13633.03,1030.9,2323.1
2000-08,Delhi,24K,281.11,304.92,185.67,,1032.5,2327.15
1990-11,Chennai,24K,383.12,282.62,215.71,6689.93,1406.18,1825.02
2002-06,New York,24K,303.26,321.17,201.86,14729.96,1113.85,2510.02
2021-04,London,18K,1348.37,1139.97,980.22,99682.13,4952.74,8696.6
2017-05,Kolkata,18K,931.11,825.13,722.92,60632.44,3419.92,6291.65
2011-03,Delhi,24K,1619.45,1164.39,1010.67,75720.24,5948.17,10457.93
1996-09,Kolkata,24K,393.04,304.89,252.22,13904.27,1443.55,3267.9
1994-10,London,24K,380.77,316.55,248.6,11945.81,1384.16,3277.19
2000-01,Mumbai,18K,209.2,226.92,138.17,9393.37,768.37,1731.83
2018-09,Delhi,18K,942.18,797.5,705.33,64366.34,3460.72,6224.14
2012-07,Chennai,22K,1551.47,1207.28,978.84,82806.84,5698.57,9788.17
1998-09,Kolkata,22K,276.17,248.18,166.65,11393.25,1014.34,2286.35
2010-07,Chennai,18K,890.93,673.15,576.54,40728.21,3272.29,6026.63
1998-01,London,24K,299.49,269.14,180.72,12355.47,1100.01,2479.45
1999-11,Dubai,24K,281.33,264.0,173.8,12112.91,1033.31,2328.93
2005-08,Delhi,24K,445.44,359.14,245.4,,1636.04,3647.62
1981-08,Chennai,24K,460.59,361.95,227.68,3978.14,1695.93,929.33
2014-01,Delhi,18K,948.33,713.51,575.22,57844.59,3483.23,5842.59
1991-07,Dubai,24K,359.13,276.0,203.73,8154.62,1318.09,1910.74
1987-06,New York,22K,405.79,332.9,247.81,5239.9,1492.8,1509.24
1983-11,Dubai,18K,310.83,322.74,204.88,3133.11,,679.86
2011-11,Kolkata,18K,1159.05,833.36,723.34,54193.32,4257.13,7484.79
2016-01,Kolkata,24K,1290.74,1165.52,956.96,86704.69,4740.89,8571.29
2017-02,London,24K,1274.65,1129.56,989.64,83002.97,4681.71,8612.98
1980-12,Dubai,22K,568.01,349.58,243.85,4466.21,2106.0,856.54
1989-12,Kolkata,24K,382.06,326.55,233.5,6168.71,1404.36,1438.97
1994-08,Chennai,18K,285.06,236.99,,8943.27,1036.25,2453.48
1983-02,Kolkata,18K,318.88,331.09,210.18,3214.22,1172.25,697.46
2011-01,London,22K,1435.38,1032.04,895.79,67113.55,5272.07,9269.24
2005-01,London,24K,451.83,364.29,248.92,19924.61,1659.51,3699.93
2007-12,Kolkata,22K,628.1,457.77,313.43,25912.91,2306.5,4773.23
2017-05,Dubai,22K,1149.35,1018.53,892.36,74843.61,4221.49,7766.3
1997-12,Mumbai,18K,251.62,222.15,153.71,9118.97,924.13,2086.01
2010-02,New York,24K,1252.32,946.19,810.4,57248.72,4599.62,8471.2
2011-04,London,18K,1175.26,845.01,733.46,54951.45,4316.68,7589.5
1987-05,London,22K,417.81,342.76,255.14,5395.08,1537.01,1553.94
1998-05,Dubai,18K,221.53,199.07,133.67,9139.01,813.65,1833.98
2008-08,New York,24K,855.86,,462.89,37070.31,3143.47,5952.32
1990-05,Mumbai,18K,288.05,212.49,162.19,,1057.25,1372.16
2012-04,Mumbai,24K,1666.9,1297.1,1051.67,88967.46,6122.53,10516.38
2013-08,London,18K,1041.85,785.33,667.25,60712.81,3826.7,6410.9
2008-02,Delhi,22K,817.37,556.05,,35403.1,3002.09,5684.62
2009-11,Delhi,24K,996.03,713.99,636.32,48146.06,3658.33,6803.86
1981-01,London,24K,456.07,358.4,225.44,3939.13,1679.3,920.22
1984-04,Mumbai,22K,339.25,400.5,253.72,3824.91,1245.68,871.36
2007-05,Kolkata,22K,,469.9,321.73,26599.69,2367.63,4899.74
1978-12,Chennai,18K,148.83,95.97,77.44,1909.58,895.54,712.96
2019-02,Mumbai,18K,1022.7,914.21,802.62,72048.75,,7075.19
1978-07,Dubai,18K,143.68,92.65,74.76,1843.4,864.5,688.25
1979-06,Delhi,24K,304.49,184.94,143.0,2480.33,1163.2,926.06
1998-12,Delhi,24K,295.89,265.89,,12206.69,1086.76,2449.59
2017-11,London,24K,1248.42,1106.32,969.28,81295.31,4585.39,8435.78
2018-01,Mumbai,22K,1119.12,947.27,837.79,76453.96,4110.62,7393.0
1982-11,London,24K,376.35,346.57,216.14,3563.6,1382.6,929.25
2001-10,Delhi,18K,204.04,228.0,141.72,9627.28,749.43,1688.84
2007-05,Mumbai,18K,516.72,376.59,257.85,21317.72,1897.48,3926.78
2017-07,Delhi,24K,1279.2,1133.6,993.18,83299.36,4698.42,8643.73
1983-01,Chennai,24K,421.05,437.18,277.53,4244.07,1547.85,920.93
1986-06,Chennai,24K,360.12,343.97,245.85,,1323.52,1245.66
1990-03,London,22K,343.84,253.64,193.59,6003.98,1261.99,1637.89
2008-06,Chennai,24K,893.13,607.6,483.04,38684.63,3280.36,6211.53
1993-08,London,18K,270.19,226.27,180.0,8412.83,992.74,1559.78
2005-05,Delhi,22K,401.65,323.83,221.27,17711.81,1475.2,3289.02
2014-12,Chennai,18K,952.9,716.95,577.99,58123.31,3500.01,5870.74
2019-08,Mumbai,22K,1284.76,1148.47,1008.29,90510.84,4719.06,8888.17
2003-04,Kolkata,18K,275.48,243.56,168.49,12817.66,1011.81,
2021-02,London,24K,1798.28,1520.34,1307.29,132943.39,6605.33,11598.43
1978-02,Dubai,18K,145.63,93.91,75.78,1868.46,876.25,697.61
1999-05,Chennai,22K,253.24,237.64,156.45,10903.75,930.16,2096.45
2003-11,Kolkata,18K,271.65,240.18,166.15,12639.8,997.77,2248.5
1990-02,Chennai,18K,285.44,210.56,160.71,4984.24,1047.65,1359.7
2000-05,Dubai,18K,212.16,230.13,140.13,9526.5,779.26,1756.38
1999-09,New York,18K,208.6,195.75,128.87,8981.53,766.19,1726.87
2012-01,Kolkata,18K,1262.61,982.5,796.6,67389.41,4637.58,7965.75
2016-11,Mumbai,18K,932.49,842.02,691.35,62639.34,3425.03,6192.28
