asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
B9354864,"[17, 4]",2,I struggled to finish this book because it was confusing.,"04 13, 2023",A713019849,User_1,I struggled to finish this book because ,1619893800
B3423522,"[6, 16]",3,"Average read, nothing particularly memorable.","04 09, 2021",A118863632,User_2,"Average read, nothing particularly memor",1686508200
B8442358,"[14, 4]",5,Excellent character development and plot twists.,"12 02, 2020",A489758229,User_3,Excellent character development and plot,1737397800
B2447504,"[2, 8]",4,The writing style was easy to follow and enjoyable.,"12 04, 2021",A978423244,User_4,The writing style was easy to follow and,1722969000
B7093811,"[8, 15]",5,The story was engaging from beginning to end.,"01 29, 2024",A373871141,User_5,The story was engaging from beginning to,1598207400
B3333222,"[7, 8]",4,Good book but the pacing felt slow in some chapters.,"12 24, 2020",A485953762,User_6,Good book but the pacing felt slow in so,1722018600
B4965737,"[6, 18]",2,I struggled to finish this book because it was confusing.,"09 25, 2022",A699495360,User_7,I struggled to finish this book because ,1579372200
B6238201,"[9, 14]",2,I struggled to finish this book because it was confusing.,"06 22, 2025",A827629527,User_8,I struggled to finish this book because ,1723919400
B9603130,"[2, 16]",2,I struggled to finish this book because it was confusing.,"12 14, 2024",A626865977,User_9,I struggled to finish this book because ,1657909800
B7039397,"[17, 0]",1,Very disappointing and poorly edited.,"04 25, 2025",A931307912,User_10,Very disappointing and poorly edited.,1706380200
B8151785,"[19, 18]",5,The story was engaging from beginning to end.,"12 22, 2020",A920041222,User_11,The story was engaging from beginning to,1745519400
B5349735,"[4, 7]",5,One of the best books I have read this year.,"05 31, 2023",A245313454,User_12,One of the best books I have read this y,1715538600
B3481888,"[17, 1]",1,Very disappointing and poorly edited.,"03 22, 2021",A651145454,User_13,Very disappointing and poorly edited.,1641925800
B4487868,"[14, 3]",1,Very disappointing and poorly edited.,"06 15, 2025",A200458755,User_14,Very disappointing and poorly edited.,1745260200
B6826801,"[17, 15]",3,Interesting concept but execution could have been better.,"08 25, 2022",A790445198,User_15,Interesting concept but execution could ,1725129000
B2805192,"[9, 5]",1,Very disappointing and poorly edited.,"09 30, 2024",A810218885,User_16,Very disappointing and poorly edited.,1681410600
B8607664,"[15, 19]",5,Excellent character development and plot twists.,"02 09, 2023",A623456761,User_17,Excellent character development and plot,1631989800
B8990481,"[14, 19]",2,The ending felt rushed and unsatisfying.,"10 12, 2020",A175061106,User_18,The ending felt rushed and unsatisfying.,1610562600
B6217439,"[1, 3]",2,The ending felt rushed and unsatisfying.,"12 06, 2022",A608939208,User_19,The ending felt rushed and unsatisfying.,1708281000
B9174823,"[18, 10]",4,Good book but the pacing felt slow in some chapters.,"02 05, 2023",A358235185,User_20,Good book but the pacing felt slow in so,1609525800
B3235493,"[6, 17]",5,The story was engaging from beginning to end.,"10 21, 2023",A628860405,User_21,The story was engaging from beginning to,1688754600
B3908827,"[19, 10]",3,Interesting concept but execution could have been better.,"12 25, 2022",A506474776,User_22,Interesting concept but execution could ,1675362600
B3751852,"[14, 17]",5,The story was engaging from beginning to end.,"07 02, 2020",A336447770,User_23,The story was engaging from beginning to,1584469800
B3619450,"[2, 4]",2,I struggled to finish this book because it was confusing.,"10 11, 2022",A664257158,User_24,I struggled to finish this book because ,1749839400
B7831172,"[18, 5]",2,The ending felt rushed and unsatisfying.,"12 04, 2023",A672086140,User_25,The ending felt rushed and unsatisfying.,1689445800
B4677040,"[14, 20]",4,Good book but the pacing felt slow in some chapters.,"04 19, 2020",A890730868,User_26,Good book but the pacing felt slow in so,1736015400
B8598329,"[4, 10]",2,I struggled to finish this book because it was confusing.,"09 07, 2021",A622892644,User_27,I struggled to finish this book because ,1606069800
B8993763,"[1, 4]",4,The writing style was easy to follow and enjoyable.,"12 25, 2022",A101394132,User_28,The writing style was easy to follow and,1728153000
B8024894,"[7, 17]",2,The ending felt rushed and unsatisfying.,"04 07, 2021",A754661016,User_29,The ending felt rushed and unsatisfying.,1697221800
B1140949,"[1, 7]",5,The story was engaging from beginning to end.,"04 05, 2020",A681478233,User_30,The story was engaging from beginning to,1658773800
B6191694,"[3, 7]",4,The writing style was easy to follow and enjoyable.,"12 10, 2020",A106447037,User_31,The writing style was easy to follow and,1684607400
B2437710,"[12, 20]",2,I struggled to finish this book because it was confusing.,"08 21, 2022",A601845444,User_32,I struggled to finish this book because ,1659033000
B2162201,"[16, 17]",3,Interesting concept but execution could have been better.,"02 18, 2023",A475778528,User_33,Interesting concept but execution could ,1702405800
B9121877,"[2, 15]",5,The story was engaging from beginning to end.,"03 18, 2024",A803119222,User_34,The story was engaging from beginning to,1708367400
B8520715,"[1, 4]",2,I struggled to finish this book because it was confusing.,"02 24, 2021",A807847759,User_35,I struggled to finish this book because ,1613068200
